,SD01,SD02_01,SD03_01,SD04,SD05_01,SD06,SD07,HI01,HI02,HI03,HI04,HI05,HI06,VR01,VR02,VR03,VR03_01,VR03_02,VR03_03,VR03_04,VR03_05,VR04_01,VR04_02,VR04_03,VR04_04,VR04_05,VR04_06,VR05_01,VR05_02,VR05_03,VR06,HM01,HM02_01,HM03,HM04_01,HM05,HM06,HM07_01,HM07_02,HM07_03,HM07_04,HM07_05,HM07_06,RG01,RG02,IS01_01,IS01_02,IS01_03,IS01_04,IS01_05,IS01_06,IS01_07,IS01_08,IS01_09,IS01_10,IS02_01,IS03_01,IO01,IO02,IO03,IO04,IO05,IO06,RW01_01,RW02_01,RW03_01,RW03_02,RW03_03,RW04_01,RW04_02,RW04_03,RW05_01,RW05_02,RW05_03,H101,H102_01,H102_02,H102_03,H102_04,H102_05,H102_06,H102_07,H103,H104_01,H104_02,H104_03,H105_01,H106_01,H201_01,H201_02,H202_01,H202_02,H202_03,CL01_01,CL01_02,CL01_03,CL01_04,CL01_05,CL01_06,CA01_01,CA01_02,CA01_03,CA01_04,CA01_05,CA01_06,CS01_01,CS01_02,CS01_03,CS01_04,CS01_05,CS01_06,US01_01,US01_02,US01_03,US01_04,unsicherheit_score,coping_score,risikowahrnehmung_score,handlungsbereitschaft_score,informationsverstaendnissubjektiv_score,quiz_score,M101_01,M101_02,M101_03,M101_04,M101_05,M101_06,M101_07,M101_08,M101_09,M101_10,M101_11,M101_12,M101_13,M101_14,M101_15,M101_16,M201_01,M201_02,M201_03,M201_04,M201_05,M201_06,M201_07,M201_08,M201_09,M201_10,M201_11,M201_12,M201_13,M201_14,M201_15,M201_16,M401_01,M401_02,M401_03,M401_04,M401_05,M401_06,M401_07,M401_08,M401_09,M401_10,M401_11,M401_12,M401_13,M401_14,M401_15,M401_16,M301_01,M301_02,M301_03,M301_04,M301_05,M301_06,M301_07,M301_08,M301_09,M301_10,M301_11,M301_12,M301_13,M301_14,M301_15,M301_16,Zielgruppe
107,Männlich,1966,82216,Ausbildung,3,Ja,Ja,Ich wohne zur Miete.,Ja,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Souterrain,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,ja,eher ja,ja,ja,eher nein,eher ja,eher ja,eher ja,ja,,,Option A,Option B,Option B,Option A,Option A,Option A,eher ja,hoch,eher hoch,eher hoch,eher hoch,4,3,3,eher hoch,eher hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,eher ja,eher ja,ja,eher ja,eher ja,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,2.5,2.5,3.0,3.2,4.2,0.3333333333333333,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
108,Männlich,1954,85244,Hochschulabschluß,2,Nein,Ja,Ich wohne zur Miete.,Ja,in einem  Ein- oder Zweifamilienhaus,6 bis 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,eher ja,eher nein,eher ja,eher ja,eher ja,eher nein,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher geringe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,eher ja,eher ja,eher ja,eher nein,eher ja,eher ja,eher ja,eher ja,Übersichtlich ,Nichts,Option B,Option B,Option A,Option A,Option B,ich weiss es nicht,eher nein,eher gering,eher gering,eher gering,eher gering,3,3,2,eher hoch,eher hoch,eher gering,Nein,eher nein,eher nein,eher nein,eher nein,eher ja,eher nein,eher nein,Nein,eher ja,eher ja,ja,,,ja,ja,ja,ja,eher nein,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,stimme eher zu,stimme nicht zu,stimme eher zu,1.75,3.0,2.0,3.6,3.8,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
109,Männlich,1968,08297,Hochschulabschluß,2,Ja,Nein,Ich wohne zur Miete.,Nein,in einem  Ein- oder Zweifamilienhaus,6 bis 10 Jahre,6 bis 10 Jahre,Souterrain,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,nein,eher nein,mittelmäßig,mittelmäßig,mittelmäßig,eher nein,eher ja,mittelmäßig,eher ja,eher ja,",hj",hj,Option B,Option A,Option A,Option B,Option A,Option B,nein,eher gering,eher hoch,eher hoch,hoch,4,3,3,hoch,eher hoch,eher hoch,Nein,nein,eher nein,eher nein,eher nein,eher ja,eher ja,ja,Nein,nein,eher nein,eher nein,khj,kljjhl,nein,eher nein,eher nein,eher nein,eher ja,stimme nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme zu,stimme nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,2.25,2.611111111111111,3.3333333333333335,2.0,2.9,0.5,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
110,Männlich,1977,08626,Schulabschluß,3,Ja,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ja,ja,eher nein,eher ja,eher ja,eher ja,eher hoch,eher hoch,eher hoch,Ja,Nein,,Nein,,Nein,Nein,hohe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,mittelmäßig,eher ja,eher ja,eher ja,ja,Das ich was neues Erfahren habe und weis wie ich mich schützen kann,zu viel informationen auf einmal,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,hoch,eher gering,eher gering,gering,4,2,3,eher gering,eher hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,eher ja,ja,eher ja,ja,ja,stimme zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme nicht zu,stimme eher zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,2.75,2.7777777777777777,1.6666666666666667,3.6,4.5,1.0,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
111,Weiblich,1970,01728,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Ja,Edelgas,2,Nicht ausgewählt,ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,eher ja,eher ja,eher ja,eher nein,nein,nein,eher hoch,eher hoch,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher geringe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,Keine Angabe,Keine Angabe,hohe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,ja,ja,ja,ja,mittelmäßig,,,Option B,Option B,Option A,Option A,Option B,Option B,eher nein,eher gering,eher gering,eher gering,gering,3,4,4,hoch,hoch,hoch,Nein,nein,nein,eher nein,eher ja,eher ja,eher ja,eher ja,Keine Angabe,,,,,,ja,nein,ja,eher nein,eher ja,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme eher zu,2.5,3.1666666666666665,1.6666666666666667,2.8,4.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
112,Weiblich,1967,08209,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,ja,eher ja,eher nein,eher nein,eher ja,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,keine Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,eher hohe Wirksamkeit,eher hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,Sie war gut durchstrukturiert.,Ist mir nichts aufgefallen.,Option B,Option B,Option A,Option A,Option B,Option A,eher nein,eher hoch,eher gering,eher gering,gering,4,3,4,eher hoch,eher gering,eher gering,Nein,nein,nein,ja,eher nein,nein,eher nein,eher ja,Ja,,,,,,ja,ja,ja,ja,eher ja,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme eher nicht zu,1.25,3.0,1.6666666666666667,3.8,5.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
113,Weiblich,1980,01159,Hochschulabschluß,4,Ja,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,eher ja,Keine Angabe,eher ja,eher ja,ja,eher ja,eher ja,eher ja,eher ja,GUTE ÜBERSICHTLICHKEIT,KANN ICH NICHT SAGEN,Option A,Option B,Option A,Option A,Option B,Option A,eher ja,eher gering,eher gering,eher gering,gering,4,4,4,eher hoch,eher hoch,eher hoch,Nein,Keine Angabe,Keine Angabe,Keine Angabe,eher ja,eher ja,nein,nein,Keine Angabe,,,,IH HALTE DAS RISIKO FÜR VERTRETBAR,,ja,Keine Angabe,ja,eher ja,Keine Angabe,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme nicht zu,1.75,2.7222222222222223,1.6666666666666667,2.2,3.8,0.6666666666666666,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,clicked,clicked,clicked,clicked,clicked,clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
114,Männlich,1961,94072,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher nein,ja,nein,eher nein,eher nein,eher hoch,eher hoch,Keine Angabe,Ja,Nein,,Nein,,Nein,Nein,hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,die ausührlichkeit,nichts,Option B,Option B,Option A,Option A,Option B,Option B,ja,hoch,eher hoch,eher gering,gering,4,4,4,hoch,hoch,hoch,Keine Angabe,,,,,,,,Ja,,,,,,ja,ja,ja,ja,ja,stimme nicht zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,Keine Angabe,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,3.611111111111111,2.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
115,Männlich,1977,08606,Sonstiges,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,nein,ja,ja,ja,nein,eher hoch,Keine Angabe,Keine Angabe,Ja,Nein,,Nein,,Nein,Nein,keine Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,,,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,Option A,Option A,Option A,ja,eher gering,gering,gering,gering,3,4,2,eher gering,eher gering,eher gering,Ja,,,,,,,,Ja,,,,,,ja,eher nein,ja,eher nein,ja,stimme nicht zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme eher zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,2.5,3.111111111111111,1.0,3.2,5.0,0.16666666666666666,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
116,Männlich,1965,01762,Ausbildung,4,Ja,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Fahrrad,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,nein,ja,ja,eher ja,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Ja,eher hohe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,Keine Angabe,Keine Angabe,hohe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,,ja,ja,eher ja,eher ja,ja,eher ja,eher ja,eher ja,eher ja,eher nein,überreaktion,Überreaktion,Option B,Option B,Option A,Option A,Option B,Option B,nein,eher hoch,gering,gering,Keine Angabe,3,2,3,eher gering,eher gering,eher gering,Nein,eher ja,eher nein,ja,ja,ja,ja,ja,Ja,,,,,,eher ja,eher ja,eher ja,eher ja,eher nein,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme zu,stimme zu,stimme zu,stimme eher zu,stimme zu,stimme eher zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,3.111111111111111,0.6666666666666666,2.8,4.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
117,Männlich,1978,01169,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,0 bis 5 Jahres,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,nein,eher nein,mittelmäßig,mittelmäßig,eher nein,mittelmäßig,mittelmäßig,eher ja,eher ja,nichts,kKartewieso keine Uran-Kate?,ich weiss es nicht,Option B,Option A,Option A,Option A,ich weiss es nicht,nein,gering,gering,gering,gering,1,1,1,gering,gering,gering,Nein,nein,nein,nein,Keine Angabe,ja,nein,ja,Nein,nein,nein,nein,,,ja,ja,eher ja,eher nein,eher ja,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,2.75,2.4444444444444446,1.0,3.2,3.0,0.5,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
118,Weiblich,1968,09599,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,eher ja,ja,ja,ja,mittelmäßig,,,Option B,Option B,Option A,Option B,Option B,Option A,nein,eher gering,gering,gering,gering,2,2,2,eher gering,eher gering,eher gering,Nein,nein,nein,ja,ja,ja,Keine Angabe,ja,Nein,ja,ja,ja,,,ja,nein,ja,nein,nein,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,2.888888888888889,1.0,2.2,4.7,0.6666666666666666,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
119,Weiblich,1950,09669,Hochschulabschluß,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,länger als 10 Jahre,1. Etage,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,eher ja,eher ja,eher ja,ja,ja,eher hoch,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,alles,nichts,Option B,Option B,Option A,Option A,Option B,Option B,nein,eher gering,eher hoch,eher hoch,gering,4,4,4,eher hoch,eher gering,eher gering,Nein,nein,nein,Keine Angabe,ja,eher nein,nein,Keine Angabe,Ja,,,,,,ja,Keine Angabe,ja,ja,ja,stimme eher zu,stimme eher zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,stimme zu,stimme eher nicht zu,stimme zu,Keine Angabe,Keine Angabe,stimme zu,stimme eher zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,2.3333333333333335,2.3333333333333335,3.2,5.0,1.0,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
120,Männlich,1944,08112,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,6 bis 10 Jahre,Souterrain,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,eher ja,eher ja,eher ja,nein,eher ja,eher ja,mittelmäßig,eher ja,Scheint wichtige Infos zum Inhalt zu haben,Für diese Umfrage zu umfangreich,Option B,Option B,Option A,Option A,Option A,ich weiss es nicht,eher nein,eher gering,eher gering,eher gering,eher gering,3,4,2,eher hoch,eher hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,eher ja,eher nein,eher ja,eher nein,eher nein,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,3.0,2.5555555555555554,2.0,2.4,3.6,0.6666666666666666,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
