"VAR","LABEL","TYPE","INPUT","QUESTION"
"US01_01","Stimmen Sie den folgenden Aussagen nicht zu oder zu?: Ich bin mir unsicher, ob ich die Radonkonzentration in meinem Wohnraum messen lassen soll.","ORDINAL","SCALE","Aufbasis der Informationen, die Sie erhalten haben, stimmen Sie der folgenden Aussage nicht zu oder zu?"
"US01_02","Stimmen Sie den folgenden Aussagen nicht zu oder zu?: Falls in meinem Wohnraum hohe Radonkonzentrationen gemessen werden, bin ich unsicher, wie ich weiter vorgehen soll.","ORDINAL","SCALE","Aufbasis der Informationen, die Sie erhalten haben, stimmen Sie der folgenden Aussage nicht zu oder zu?"
"US01_03","Stimmen Sie den folgenden Aussagen nicht zu oder zu?: Ich bin mir unsicher, ob ich vorsorglich ? auch ohne Messung ? Maßnahmen wie Lüften oder Türen abdichten ergreifen soll.","ORDINAL","SCALE","Aufbasis der Informationen, die Sie erhalten haben, stimmen Sie der folgenden Aussage nicht zu oder zu?"
"US01_04","Stimmen Sie den folgenden Aussagen nicht zu oder zu?: Ich bin unsicher, ob ich vom Radonrisiko betroffen bin.","ORDINAL","SCALE","Aufbasis der Informationen, die Sie erhalten haben, stimmen Sie der folgenden Aussage nicht zu oder zu?"
"TIME001","Verweildauer Seite 1","METRIC","SYSTEM",
"TIME002","Verweildauer Seite 2","METRIC","SYSTEM",
"TIME003","Verweildauer Seite 3","METRIC","SYSTEM",
"TIME004","Verweildauer Seite 4","METRIC","SYSTEM",
"TIME005","Verweildauer Seite 5","METRIC","SYSTEM",
"TIME006","Verweildauer Seite 6","METRIC","SYSTEM",
"TIME007","Verweildauer Seite 7","METRIC","SYSTEM",
"TIME008","Verweildauer Seite 8","METRIC","SYSTEM",
"TIME009","Verweildauer Seite 9","METRIC","SYSTEM",
"TIME010","Verweildauer Seite 10","METRIC","SYSTEM",
"TIME011","Verweildauer Seite 11","METRIC","SYSTEM",
"TIME012","Verweildauer Seite 12","METRIC","SYSTEM",
"TIME013","Verweildauer Seite 13","METRIC","SYSTEM",
"TIME014","Verweildauer Seite 14","METRIC","SYSTEM",
"TIME015","Verweildauer Seite 15","METRIC","SYSTEM",
"TIME016","Verweildauer Seite 16","METRIC","SYSTEM",
"TIME017","Verweildauer Seite 17","METRIC","SYSTEM",
"TIME018","Verweildauer Seite 18","METRIC","SYSTEM",
"TIME019","Verweildauer Seite 19","METRIC","SYSTEM",
"TIME020","Verweildauer Seite 20","METRIC","SYSTEM",
"TIME_SUM","Verweildauer gesamt (ohne Ausreißer)","METRIC","SYSTEM",
"MAILSENT","Versandzeitpunkt der Einladungsmail (nur für nicht-anonyme Adressaten)","TIME","SYSTEM",
"LASTDATA","Zeitpunkt als der Datensatz das letzte mal geändert wurde","TIME","SYSTEM",
"FINISHED","Wurde die Befragung abgeschlossen (letzte Seite erreicht)?","BOOL","SYSTEM",
"Q_VIEWER","Hat der Teilnehmer den Fragebogen nur angesehen, ohne die Pflichtfragen zu beantworten?","BOOL","SYSTEM",
"LASTPAGE","Seite, die der Teilnehmer zuletzt bearbeitet hat","METRIC","SYSTEM",
"MAXPAGE","Letzte Seite, die im Fragebogen bearbeitet wurde","METRIC","SYSTEM",
"MISSING","Anteil fehlender Antworten in Prozent","METRIC","SYSTEM",
"MISSREL","Anteil fehlender Antworten (gewichtet nach Relevanz)","METRIC","SYSTEM",
"TIME_RSI","Maluspunkte für schnelles Ausfüllen","METRIC","SYSTEM",
"DEG_TIME","Maluspunkte für schnelles Ausfüllen","METRIC","SYSTEM",
